feature,beta_std(1 SD),OR_std(1 SD),beta_raw(per unit),OR_raw(per unit)
X染色体浓度,1.2544724567706824,3.505988325991804,68.97084388799392,8.98787270245098e+29
被过滤掉读段数的比例,-0.7989245217570634,0.449812467594182,-53.229173017602506,7.6359641749584e-24
X染色体的Z值,0.31222018501964394,1.3664555329464072,0.2187965945309278,1.2445780969477256
18号染色体的Z值,-0.24381407490968715,0.7836333178147159,-0.20002277117846676,0.8187121098261525
检测抽血次数,0.1011106095831061,1.1063990133291781,0.09780081408041687,1.1027431123304783
21号染色体的Z值,-0.059907775519914795,0.9418513913338651,-0.054954273988162494,0.9465284279340661
13号染色体的Z值,0.03142628784007383,1.0319253073488157,0.022989121724965606,1.0232554082329117
原始读段数,0.4070181120859552,1.5023313157694582,4.5145508700741976e-07,1.000000451455189
