threshold,fpr,tpr,specificity,youden_J,auc
inf,0.0,0.0,1.0,0.0,0.902262443438914
0.9953115089549784,0.0,0.011764705882352941,1.0,0.011764705882352941,0.902262443438914
0.9242390163348169,0.0,0.24705882352941178,1.0,0.24705882352941178,0.902262443438914
0.9225149080377643,0.02564102564102564,0.24705882352941178,0.9743589743589743,0.22141779788838614,0.902262443438914
0.9076039544653216,0.02564102564102564,0.36470588235294116,0.9743589743589743,0.3390648567119155,0.902262443438914
0.9075923941154445,0.05128205128205128,0.36470588235294116,0.9487179487179487,0.3134238310708899,0.902262443438914
0.8368552902841385,0.05128205128205128,0.5294117647058824,0.9487179487179487,0.4781297134238311,0.902262443438914
0.8292953360125086,0.07692307692307693,0.5294117647058824,0.9230769230769231,0.45248868778280543,0.902262443438914
0.8125982741104446,0.07692307692307693,0.5882352941176471,0.9230769230769231,0.5113122171945701,0.902262443438914
0.8012476997103695,0.10256410256410256,0.5882352941176471,0.8974358974358975,0.48567119155354455,0.902262443438914
0.7359346045188926,0.10256410256410256,0.7411764705882353,0.8974358974358975,0.6386123680241328,0.902262443438914
0.7270051761632417,0.1282051282051282,0.7411764705882353,0.8717948717948718,0.6129713423831071,0.902262443438914
0.6677948341000444,0.1282051282051282,0.8,0.8717948717948718,0.6717948717948719,0.902262443438914
0.6634693294888886,0.15384615384615385,0.8,0.8461538461538461,0.6461538461538462,0.902262443438914
0.6526104956802306,0.15384615384615385,0.8117647058823529,0.8461538461538461,0.6579185520361991,0.902262443438914
0.648231845070667,0.1794871794871795,0.8117647058823529,0.8205128205128205,0.6322775263951734,0.902262443438914
0.5992838792346268,0.1794871794871795,0.8470588235294118,0.8205128205128205,0.6675716440422322,0.902262443438914
0.5753453595732033,0.20512820512820512,0.8470588235294118,0.7948717948717949,0.6419306184012066,0.902262443438914
0.5688080221086546,0.20512820512820512,0.8705882352941177,0.7948717948717949,0.6654600301659126,0.902262443438914
0.5674893512152981,0.23076923076923078,0.8705882352941177,0.7692307692307692,0.6398190045248868,0.902262443438914
0.5537908666549731,0.23076923076923078,0.8941176470588236,0.7692307692307692,0.6633484162895928,0.902262443438914
0.5449881061997313,0.2564102564102564,0.8941176470588236,0.7435897435897436,0.6377073906485672,0.902262443438914
0.5341497189150793,0.2564102564102564,0.9176470588235294,0.7435897435897436,0.661236802413273,0.902262443438914
0.5234209594437672,0.3076923076923077,0.9176470588235294,0.6923076923076923,0.6099547511312217,0.902262443438914
0.468542468583055,0.3076923076923077,0.9647058823529412,0.6923076923076923,0.6570135746606335,0.902262443438914
0.36960360019807903,0.5384615384615384,0.9647058823529412,0.46153846153846156,0.42624434389140275,0.902262443438914
0.34414388577403465,0.5384615384615384,0.9882352941176471,0.46153846153846156,0.44977375565610866,0.902262443438914
0.30059031147480036,0.5897435897435898,0.9882352941176471,0.41025641025641024,0.39849170437405734,0.902262443438914
0.2993760068762582,0.5897435897435898,1.0,0.41025641025641024,0.41025641025641024,0.902262443438914
0.0008978453812160081,1.0,1.0,0.0,0.0,0.902262443438914
