threshold,fpr,tpr,specificity,youden_J,auc
inf,0.0,0.0,1.0,0.0,0.7197994987468671
0.9943063970806687,0.0,0.017543859649122806,1.0,0.017543859649122806,0.7197994987468671
0.8484671209654853,0.0,0.08771929824561403,1.0,0.08771929824561403,0.7197994987468671
0.8337967590756986,0.014285714285714285,0.08771929824561403,0.9857142857142858,0.07343358395989974,0.7197994987468671
0.6884632641747999,0.014285714285714285,0.3333333333333333,0.9857142857142858,0.319047619047619,0.7197994987468671
0.6743577784866822,0.04285714285714286,0.3333333333333333,0.9571428571428572,0.29047619047619044,0.7197994987468671
0.6729608079770066,0.04285714285714286,0.3508771929824561,0.9571428571428572,0.30802005012531325,0.7197994987468671
0.6531478456738762,0.05714285714285714,0.3508771929824561,0.9428571428571428,0.29373433583959896,0.7197994987468671
0.6439769939376349,0.05714285714285714,0.40350877192982454,0.9428571428571428,0.3463659147869674,0.7197994987468671
0.6358867327232398,0.07142857142857142,0.40350877192982454,0.9285714285714286,0.3320802005012531,0.7197994987468671
0.6196474997558983,0.07142857142857142,0.45614035087719296,0.9285714285714286,0.38471177944862156,0.7197994987468671
0.6180096882680852,0.08571428571428572,0.45614035087719296,0.9142857142857143,0.3704260651629072,0.7197994987468671
0.5941562612323266,0.08571428571428572,0.47368421052631576,0.9142857142857143,0.3879699248120301,0.7197994987468671
0.5919772005168258,0.1,0.47368421052631576,0.9,0.37368421052631573,0.7197994987468671
0.5755189490305413,0.1,0.49122807017543857,0.9,0.3912280701754386,0.7197994987468671
0.5747369863446515,0.12857142857142856,0.49122807017543857,0.8714285714285714,0.36265664160401,0.7197994987468671
0.5650843859585333,0.12857142857142856,0.5087719298245614,0.8714285714285714,0.38020050125313287,0.7197994987468671
0.5515571964880503,0.15714285714285714,0.5087719298245614,0.8428571428571429,0.3516290726817043,0.7197994987468671
0.5491153567737151,0.15714285714285714,0.5263157894736842,0.8428571428571429,0.36917293233082704,0.7197994987468671
0.5285758062261975,0.21428571428571427,0.5263157894736842,0.7857142857142857,0.3120300751879699,0.7197994987468671
0.5066567848002919,0.21428571428571427,0.5614035087719298,0.7857142857142857,0.3471177944862155,0.7197994987468671
0.48286417430121215,0.2714285714285714,0.5614035087719298,0.7285714285714286,0.2899749373433584,0.7197994987468671
0.4791563287872234,0.2714285714285714,0.6140350877192983,0.7285714285714286,0.34260651629072686,0.7197994987468671
0.4615147538024672,0.3142857142857143,0.6140350877192983,0.6857142857142857,0.299749373433584,0.7197994987468671
0.4447481511083002,0.3142857142857143,0.6491228070175439,0.6857142857142857,0.3348370927318296,0.7197994987468671
0.4205358507313354,0.35714285714285715,0.6491228070175439,0.6428571428571428,0.29197994987468673,0.7197994987468671
0.41379614045535923,0.35714285714285715,0.6666666666666666,0.6428571428571428,0.3095238095238095,0.7197994987468671
0.4073909201368855,0.37142857142857144,0.6666666666666666,0.6285714285714286,0.2952380952380952,0.7197994987468671
0.40380797951685576,0.37142857142857144,0.7017543859649122,0.6285714285714286,0.3303258145363408,0.7197994987468671
0.3894047905247751,0.42857142857142855,0.7017543859649122,0.5714285714285714,0.2731829573934837,0.7197994987468671
0.3853860736762174,0.42857142857142855,0.7192982456140351,0.5714285714285714,0.29072681704260656,0.7197994987468671
0.3749474244487974,0.4714285714285714,0.7192982456140351,0.5285714285714286,0.24786967418546368,0.7197994987468671
0.3545313026875054,0.4714285714285714,0.7368421052631579,0.5285714285714286,0.26541353383458643,0.7197994987468671
0.33884950185160556,0.5428571428571428,0.7368421052631579,0.4571428571428572,0.19398496240601504,0.7197994987468671
0.3333517367428361,0.5428571428571428,0.7543859649122807,0.4571428571428572,0.2115288220551379,0.7197994987468671
0.32585397275699224,0.6,0.7543859649122807,0.4,0.15438596491228074,0.7197994987468671
0.3189275808581924,0.6,0.7894736842105263,0.4,0.18947368421052635,0.7197994987468671
0.31306781577614623,0.6285714285714286,0.7894736842105263,0.37142857142857144,0.16090225563909777,0.7197994987468671
0.31146363576038616,0.6285714285714286,0.8070175438596491,0.37142857142857144,0.17844611528822052,0.7197994987468671
0.3088830384923631,0.6714285714285714,0.8070175438596491,0.3285714285714286,0.1355889724310777,0.7197994987468671
0.30805105401092486,0.6714285714285714,0.8245614035087719,0.3285714285714286,0.15313283208020056,0.7197994987468671
0.29994349739316367,0.7428571428571429,0.8245614035087719,0.2571428571428571,0.08170426065162906,0.7197994987468671
0.2982315698453585,0.7428571428571429,0.8596491228070176,0.2571428571428571,0.11679197994987467,0.7197994987468671
0.29116305135306686,0.7714285714285715,0.8596491228070176,0.22857142857142854,0.08822055137844609,0.7197994987468671
0.2684153033510685,0.7714285714285715,0.8947368421052632,0.22857142857142854,0.1233082706766917,0.7197994987468671
0.256496381033071,0.7857142857142857,0.8947368421052632,0.2142857142857143,0.10902255639097747,0.7197994987468671
0.19174113796168907,0.7857142857142857,0.9122807017543859,0.2142857142857143,0.12656641604010022,0.7197994987468671
0.17719042171639895,0.8285714285714286,0.9122807017543859,0.17142857142857137,0.08370927318295729,0.7197994987468671
0.10680125793059894,0.8285714285714286,1.0,0.17142857142857137,0.17142857142857137,0.7197994987468671
0.00017791734584078137,1.0,1.0,0.0,0.0,0.7197994987468671
