feature,beta_std(1 SD),OR_std(1 SD),beta_raw(per unit),OR_raw(per unit)
被过滤掉读段数的比例,-2.166787814588747,0.11454496626742786,-59.91344930059611,9.548157560166898e-27
X染色体浓度,0.34579299714318307,1.413110067718561,18.358921165450003,94010888.20083004
13号染色体的Z值,1.1077509275896116,3.027541571325388,0.9538993656238243,2.5958119701759066
21号染色体的Z值,-0.6047259408797723,0.5462241038259154,-0.6045148498316679,0.5463394190150657
检测抽血次数,-0.22673222419361577,0.7971342069689492,-0.24481417018548968,0.7828500015963216
X染色体的Z值,-0.2794984552727512,0.7561628958796961,-0.24145966267431443,0.7854804873322032
18号染色体的Z值,-0.27955614550746466,0.7561192739230438,-0.23420146571946013,0.7912023996769819
原始读段数,0.3707567679069929,1.4488306284192554,3.984828566188267e-07,1.000000398482936
